,exp_id,agent_id,env_id,policy_id,exp_seed,num_episodes,time_limit,episode_return_mean,episode_return_std,episode_return_max,episode_return_min,episode_steps_mean,episode_steps_std,episode_time_mean,episode_time_std,num_episode_done,num_LOSS,num_DRAW,num_WIN,num_NA
19,486,1,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k3_seed0_i1-v0,0,1000,None,-0.3579758064516095,0.6622646087522156,0.7983870967741935,-0.9838709677419352,52.073,35.06453580186112,0.1697627856731415,0.1139408566997817,1000,501,0,163,336
20,83,0,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k0_seed0_i0-v0,0,1000,None,-0.6873467741935476,0.2960806279181538,0.9516129032258064,-0.7983870967741935,16.324,19.106099130905815,0.0545602579116821,0.0629291735964524,1000,945,0,25,30
21,83,1,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k1_seed1_i1-v0,0,1000,None,0.6873467741935476,0.2960806279181538,0.7983870967741935,-0.9516129032258064,16.324,19.106099130905815,0.0545602579116821,0.0629291735964524,1000,25,0,945,30
22,740,0,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k0_seed3_i0-v0,0,1000,None,0.3845725806451583,0.5205029529949711,0.9516129032258064,-0.7983870967741935,62.674,39.57056638462482,0.1002388889789581,0.0627833350586119,1000,67,0,424,509
23,740,1,PursuitEvasion16x16-v0,random-v0,0,1000,None,-0.3845725806451583,0.5205029529949711,0.7983870967741935,-0.9516129032258064,62.674,39.57056638462482,0.1002388889789581,0.0627833350586119,1000,424,0,67,509
24,205,0,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k3_seed0_i0-v0,0,1000,None,-0.0692499999999996,0.8583903104142119,0.9919354838709676,-0.8064516129032258,16.545,11.610942037578177,0.0561362142562866,0.0398736613828387,1000,596,0,404,0
25,205,1,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k0_seed3_i1-v0,0,1000,None,0.0692499999999996,0.8583903104142119,0.8064516129032258,-0.9919354838709676,16.545,11.610942037578177,0.0561362142562866,0.0398736613828387,1000,404,0,596,0
26,664,0,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k3_seed2_i0-v0,0,1000,None,0.1273306451612893,0.850576275201088,0.9919354838709676,-0.7983870967741935,22.57,20.59128699231789,0.0731884508132934,0.0658641747981182,1000,457,0,492,51
27,664,1,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/sp_seed3_i1-v0,0,1000,None,-0.1273306451612893,0.850576275201088,0.7983870967741935,-0.9919354838709676,22.57,20.59128699231789,0.0731884508132934,0.0658641747981182,1000,492,0,457,51
28,1118,0,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k4_seed4_i0-v0,0,1000,None,0.3801612903225767,0.8115326387307445,0.9919354838709676,-0.7983870967741935,23.26,16.208158439502004,0.0771375412940979,0.0531630795973117,1000,315,0,652,33
29,1118,1,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k0_seed1_i1-v0,0,1000,None,-0.3801612903225767,0.8115326387307445,0.7983870967741935,-0.9919354838709676,23.26,16.208158439502004,0.0771375412940979,0.0531630795973117,1000,652,0,315,33
30,112,0,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k1_seed0_i0-v0,0,1000,None,0.4466693548387084,0.7957947172386324,0.9919354838709676,-0.7983870967741935,17.059,8.865411383573804,0.0288123381137847,0.0147818551961749,1000,296,0,704,0
31,112,1,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/shortestpath-v0,0,1000,None,-0.4466693548387084,0.7957947172386324,0.7983870967741935,-0.9919354838709676,17.059,8.865411383573804,0.0288123381137847,0.0147818551961749,1000,704,0,296,0
32,901,0,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k4_seed3_i0-v0,0,1000,None,0.4340322580645128,0.7997507741342996,0.9919354838709676,-0.7983870967741935,19.058,8.770098973215752,0.0623431901931762,0.02848499612799,1000,306,0,694,0
33,901,1,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klrbr_k4_seed1_i1-v0,0,1000,None,-0.4340322580645128,0.7997507741342996,0.7983870967741935,-0.9919354838709676,19.058,8.770098973215752,0.0623431901931762,0.02848499612799,1000,694,0,306,0
34,573,0,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k1_seed2_i0-v0,0,1000,None,0.7175322580645241,0.6083642050477225,0.9919354838709676,-0.7983870967741935,19.338,7.296557818588159,0.0648906064033508,0.024536008189541,1000,141,0,859,0
35,573,1,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k4_seed2_i1-v0,0,1000,None,-0.7175322580645241,0.6083642050477225,0.7983870967741935,-0.9919354838709676,19.338,7.296557818588159,0.0648906064033508,0.024536008189541,1000,859,0,141,0
36,1091,0,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k3_seed4_i0-v0,0,1000,None,-0.4246209677419354,0.6785522684335809,0.9919354838709676,-0.7983870967741935,15.209,17.796890711582176,0.0501662833690643,0.0580583373780768,1000,788,0,185,27
37,1091,1,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k4_seed2_i1-v0,0,1000,None,0.4246209677419354,0.6785522684335809,0.7983870967741935,-0.9919354838709676,15.209,17.796890711582176,0.0501662833690643,0.0580583373780768,1000,185,0,788,27
38,859,0,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k3_seed3_i0-v0,0,1000,None,-0.2954112903225833,0.7292539467658504,0.9919354838709676,-0.8064516129032258,21.143,25.44398850416341,0.0701937434673309,0.0835733361101906,1000,681,0,231,88
39,859,1,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k0_seed1_i1-v0,0,1000,None,0.2954112903225833,0.7292539467658504,0.8064516129032258,-0.9919354838709676,21.143,25.44398850416341,0.0701937434673309,0.0835733361101906,1000,231,0,681,88
40,1357,0,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/sp_seed4_i0-v0,0,1000,None,0.2264112903225786,0.7806803750638849,0.9919354838709676,-0.782258064516129,44.519,32.219460563454504,0.1341446161270141,0.0981469640534571,1000,346,0,501,153
41,1357,1,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klrbr_k4_seed3_i1-v0,0,1000,None,-0.2264112903225786,0.7806803750638849,0.782258064516129,-0.9919354838709676,44.519,32.219460563454504,0.1341446161270141,0.0981469640534571,1000,501,0,346,153
42,888,0,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k4_seed3_i0-v0,0,1000,None,0.5352903225806457,0.7384618291075762,0.9919354838709676,-0.7903225806451613,22.265,7.144982505227008,0.0369705069065094,0.0116651560059472,1000,254,0,746,0
43,888,1,PursuitEvasion16x16-v0,random-v0,0,1000,None,-0.5352903225806457,0.7384618291075762,0.7903225806451613,-0.9919354838709676,22.265,7.144982505227008,0.0369705069065094,0.0116651560059472,1000,746,0,254,0
44,1040,0,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k2_seed4_i0-v0,0,1000,None,0.3717499999999995,0.8111650800766741,0.9919354838709676,-0.7741935483870968,23.953,7.048176430822372,0.0785526487827301,0.0234337566393216,1000,351,0,649,0
45,1040,1,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k2_seed0_i1-v0,0,1000,None,-0.3717499999999995,0.8111650800766741,0.7741935483870968,-0.9919354838709676,23.953,7.048176430822372,0.0785526487827301,0.0234337566393216,1000,649,0,351,0
46,202,0,PursuitEvasion16x16-v0,PursuitEvasion16x16-v0/klr_k3_seed0_i0-v0,0,1000,None,-0.4610322580645177,0.6348927666796171,0.9919354838709676,-0.8064516129032258,17.516,22.913571175179133,0.0583811984062194,0.0755752249136578,1000,788,0,152,60
