,exp_id,agent_id,env_name,policy_id,exp_seed,num_episodes,time_limit,episode_return_mean,episode_return_std,episode_return_max,episode_return_min,episode_steps_mean,episode_steps_std,episode_time_mean,episode_time_std,num_episode_done,num_LOSS,num_DRAW,num_WIN,num_NA
20,472,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k0_seed2_i0-v0,0,2,None,0.0884955752212389,0.8849557522123893,0.9734513274336284,-0.7964601769911503,20.0,4.0,0.0481593608856201,0.0097861289978027,2,1,0,1,0
21,472,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k3_seed0_i1-v0,0,2,None,-0.0884955752212389,0.8849557522123893,0.7964601769911503,-0.9734513274336284,20.0,4.0,0.0481593608856201,0.0097861289978027,2,1,0,1,0
22,809,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k3_seed3_i0-v0,0,2,None,-0.8672566371681416,0.0088495575221239,-0.8584070796460177,-0.8761061946902655,4.5,0.5,0.0111923217773437,0.0009388923645019,2,2,0,0,0
23,809,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k4_seed2_i1-v0,0,2,None,0.8672566371681416,0.0088495575221239,0.8761061946902655,0.8584070796460177,4.5,0.5,0.0111923217773437,0.0009388923645019,2,0,0,2,0
24,730,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k1_seed3_i0-v0,0,2,None,0.9690265486725664,0.0044247787610619,0.9734513274336284,0.9646017699115044,18.5,1.5,0.1171417236328125,0.0723202228546142,2,0,0,2,0
25,730,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k3_seed1_i1-v0,0,2,None,-0.9690265486725664,0.0044247787610619,-0.9646017699115044,-0.9734513274336284,18.5,1.5,0.1171417236328125,0.0723202228546142,2,2,0,0,0
26,930,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k0_seed4_i0-v0,0,2,None,-0.411504424778761,0.4292035398230088,0.0176991150442478,-0.8407079646017699,30.5,19.5,0.0692446231842041,0.0426292419433593,2,1,0,0,1
27,930,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klrbr_k4_seed4_i1-v0,0,2,None,0.411504424778761,0.4292035398230088,0.8407079646017699,-0.0176991150442478,30.5,19.5,0.0692446231842041,0.0426292419433593,2,0,0,1,1
28,204,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k4_seed0_i0-v0,0,2,None,-0.827433628318584,0.0132743362831858,-0.8141592920353982,-0.8407079646017699,7.5,0.5,0.0187224149703979,0.0013984441757202,2,2,0,0,0
29,204,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klrbr_k4_seed3_i1-v0,0,2,None,0.827433628318584,0.0132743362831858,0.8407079646017699,0.8141592920353982,7.5,0.5,0.0187224149703979,0.0013984441757202,2,0,0,2,0
